,driverid,lap,cume_sec
301,Marcus Ericsson,14,1653.2900007367134
302,Kimi Räikkönen,14,1653.6159989833832
303,Kevin Magnussen,14,1654.6329950094223
304,Rio Haryanto,14,1656.7040052721277
305,Romain Grosjean,14,1657.0190023183823
306,Jolyon Palmer,14,1658.7849960327148
307,Felipe Nasr,14,1666.4389934539795
308,Nico Rosberg,15,1725.0809993743896
309,Daniil Kvyat,15,1734.0279998779297
310,Felipe Massa,15,1738.0040016174316
311,Sebastian Vettel,15,1741.0510005950928
312,Fernando Alonso,15,1743.798002243042
313,Sergio Pérez,15,1744.0829944610596
314,Valtteri Bottas,15,1744.5959997177124
315,Carlos Sainz Jr.,15,1748.2550057172775
316,Jenson Button,15,1749.9839963912964
317,Daniel Ricciardo,15,1750.1159954071045
318,Lewis Hamilton,15,1750.8530015945435
319,Nico Hülkenberg,15,1752.5109948515892
320,Max Verstappen,15,1754.510998725891
321,Esteban Gutiérrez,15,1756.1240005493164
322,Marcus Ericsson,15,1758.4260023236275
323,Kevin Magnussen,15,1759.8319963216782
324,Pascal Wehrlein,15,1760.431999206543
325,Rio Haryanto,15,1762.96100524161
326,Romain Grosjean,15,1763.1970037221909
327,Felipe Nasr,15,1771.9819927215576
328,Jolyon Palmer,15,1772.0439949035645
329,Kimi Räikkönen,15,1774.534999012947
330,Nico Rosberg,16,1827.5590000152588
331,Daniil Kvyat,16,1837.625
332,Felipe Massa,16,1842.3160018920898
333,Sebastian Vettel,16,1844.2150020599365
334,Sergio Pérez,16,1847.945993423462
335,Valtteri Bottas,16,1849.4680013656616
336,Carlos Sainz Jr.,16,1852.4190071821213
337,Daniel Ricciardo,16,1853.9249935150146
338,Fernando Alonso,16,1854.779001235962
339,Lewis Hamilton,16,1854.963002204895
340,Jenson Button,16,1856.4659948349
341,Nico Hülkenberg,16,1857.108994424343
342,Max Verstappen,16,1858.4219980239868
343,Esteban Gutiérrez,16,1861.492000579834
344,Marcus Ericsson,16,1863.503001987934
345,Kevin Magnussen,16,1865.7919954061508
346,Romain Grosjean,16,1868.9790052175522
347,Rio Haryanto,16,1870.6230039903894
348,Kimi Räikkönen,16,1876.6230002641678
349,Felipe Nasr,16,1877.8709926605225
350,Pascal Wehrlein,16,1885.4479990005493
351,Jolyon Palmer,16,1892.3319948911667
352,Nico Rosberg,17,1929.829999923706
353,Daniil Kvyat,17,1941.2039985656738
354,Felipe Massa,17,1946.9140014648438
355,Sergio Pérez,17,1951.681993484497
356,Sebastian Vettel,17,1952.3920001983643
357,Valtteri Bottas,17,1953.491000175476
358,Carlos Sainz Jr.,17,1956.2560089826584
359,Daniel Ricciardo,17,1957.8269939422607
360,Lewis Hamilton,17,1958.9240007400513
361,Jenson Button,17,1961.0919942855835
362,Max Verstappen,17,1962.274998664856
363,Esteban Gutiérrez,17,1966.9440002441406
364,Nico Hülkenberg,17,1967.6019944548607
365,Marcus Ericsson,17,1968.729003727436
366,Kevin Magnussen,17,1971.4649957418442
367,Romain Grosjean,17,1974.3090070486069
368,Fernando Alonso,17,1976.8010013103485
369,Rio Haryanto,17,1977.809004814364
370,Kimi Räikkönen,17,1978.9929991960526
371,Felipe Nasr,17,1983.4439945220947
372,Pascal Wehrlein,17,1988.5019998550415
373,Jolyon Palmer,17,1995.4079951047897
374,Nico Rosberg,18,2032.4499988555908
375,Daniil Kvyat,18,2044.8569984436035
376,Felipe Massa,18,2052.0430030822754
377,Valtteri Bottas,18,2057.422999382019
378,Carlos Sainz Jr.,18,2060.336010813713
379,Sergio Pérez,18,2060.3759937286377
380,Daniel Ricciardo,18,2061.8389949798584
381,Lewis Hamilton,18,2062.758999824524
382,Jenson Button,18,2065.807993888855
383,Max Verstappen,18,2066.6019983291626
384,Sebastian Vettel,18,2071.1359996795654
385,Esteban Gutiérrez,18,2072.337001800537
386,Marcus Ericsson,18,2074.2750051617622
387,Kevin Magnussen,18,2077.348994612694
388,Romain Grosjean,18,2079.5870069265366
389,Fernando Alonso,18,2080.0450007915497
390,Kimi Räikkönen,18,2081.828997731209
391,Nico Hülkenberg,18,2088.2669944763184
392,Felipe Nasr,18,2089.122995376587
393,Rio Haryanto,18,2089.7720060655847
394,Pascal Wehrlein,18,2092.1219987869263
395,Jolyon Palmer,18,2099.2229937314987
396,Nico Rosberg,19,2135.234998703003
397,Daniil Kvyat,19,2153.045997619629
398,Valtteri Bottas,19,2161.034998893738
399,Felipe Massa,19,2161.558002471924
400,Lewis Hamilton,19,2166.438000679016
401,Carlos Sainz Jr.,19,2169.073010325432
402,Daniel Ricciardo,19,2169.91099357605
403,Jenson Button,19,2170.256995201111
404,Max Verstappen,19,2171.092999458313
405,Sebastian Vettel,19,2172.019998550415
406,Marcus Ericsson,19,2179.086005985737
407,Sergio Pérez,19,2179.5529918670654
408,Esteban Gutiérrez,19,2181.843002319336
409,Kevin Magnussen,19,2183.4149965047836
410,Fernando Alonso,19,2184.8140017986298
411,Romain Grosjean,19,2185.596005797386
412,Kimi Räikkönen,19,2185.8109961748123
413,Nico Hülkenberg,19,2190.675994873047
414,Felipe Nasr,19,2195.1619968414307
415,Pascal Wehrlein,19,2195.7759981155396
416,Jolyon Palmer,19,2203.253991961479
417,Rio Haryanto,19,2211.7310060570017
418,Nico Rosberg,20,2243.623998641968
419,Valtteri Bottas,20,2264.968997001648
420,Lewis Hamilton,20,2270.557999610901
421,Daniil Kvyat,20,2273.885997593403
422,Jenson Button,20,2274.9529943466187
423,Sebastian Vettel,20,2275.5899982452393
424,Max Verstappen,20,2281.0719995498657
425,Sergio Pérez,20,2282.100992202759
426,Felipe Massa,20,2282.724002480507
427,Marcus Ericsson,20,2284.955005466938
428,Fernando Alonso,20,2289.4970004558563
429,Carlos Sainz Jr.,20,2289.8180103302
430,Kimi Räikkönen,20,2290.5369979143143
431,Daniel Ricciardo,20,2290.5909935832024
432,Nico Hülkenberg,20,2293.835994720459
433,Kevin Magnussen,20,2295.6549981832504
434,Romain Grosjean,20,2297.520005583763
435,Pascal Wehrlein,20,2300.9809999465942
436,Esteban Gutiérrez,20,2303.204002261162
437,Felipe Nasr,20,2306.6409969329834
438,Jolyon Palmer,20,2308.0629900693893
439,Rio Haryanto,20,2314.646006972529
440,Nico Rosberg,21,2364.5899986624718
441,Valtteri Bottas,21,2374.0079984664917
442,Daniil Kvyat,21,2376.023998081684
443,Sebastian Vettel,21,2377.92799949646
